"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"CELL_Glc12_05mM_Normo_04"	"CELL_Glc12_05mM_Normo_05"	"CELL_Glc12_05mM_Normo_06"	"CELL_Glc12_25mM_Normo_16"	"CELL_Glc12_25mM_Normo_17"	"CELL_Glc12_25mM_Normo_18"	"CELL_Glc13_05mM_Normo_01"	"CELL_Glc13_05mM_Normo_02"	"CELL_Glc13_05mM_Normo_03"	"CELL_Glc13_25mM_Normo_13"	"CELL_Glc13_25mM_Normo_14"	"CELL_Glc13_25mM_Normo_15"
"CHEBI:17203"	"C5H9NO2"	"OC(=O)[C@@H]1CCCN1"	"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1"	"L-proline"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"38794.94141"	"120433.4844"	"38011.76172"	"42327.64844"	"60731.34766"	"61290.94922"	"39660.57813"	"64737.78906"	"102731.6641"	"44760.61719"	"40189.05078"	"39043.48438"
"CHEBI:29985"	"C5H8NO4-"	"[NH3+][C@@H](CCC([O-])=O)C([O-])=O"	"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1"	"L-Glutamic acid, ion(1-)"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"6058.714355"	"11219.12207"	"7178.583008"	"5644.897949"	"6065.890137"	"7766.402344"	"4061.601318"	"7221.534668"	"6816.339844"	"4554.205566"	"5166.535156"	"4407.109863"
"CHEBI:44897"	"C3H5O6P"	"OC(=O)C(=C)OP(O)(O)=O"	"InChI=1S/C3H5O6P/c1-2(3(4)5)9-10(6,7)8/h1H2,(H,4,5)(H2,6,7,8)"	"phosphoenolpyruvate"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"7470.404785"	"66925.29688"	"5505.624023"	"16972.74219"	"24263.80273"	"36123.40234"	"3837.726318"	"8117.036133"	"19335.23438"	"8538.677734"	"6664.438965"	"7167.437012"
"CHEBI:37624"	""	""	""	"L-Glucose"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"3876.939453"	"4986.150391"	"1740.56311"	"3540.199951"	"3005.14624"	"5734.986816"	"3907.559326"	"2635.498779"	"2797.876709"	"4568.096191"	"3499.205566"	"4093.566162"
"CHEBI:30769"	"C6H8O7"	"OC(=O)CC(O)(CC(O)=O)C(O)=O"	"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"	"citrate"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"140262.8281"	"156383"	"226348.1875"	"61116.07813"	"220569.4219"	"198867.5625"	"51963.50781"	"59153.96875"	"44303.66797"	"67049.03125"	"80883.13281"	"90204.36719"
"CHEBI:15727"	"C9H14N4O3"	"NCCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O"	"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1"	"Carnosine"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"1391.015381"	"2166.421875"	"1468.760864"	"1404.520264"	"3738.438232"	"2395.130371"	"1007.735107"	"1969.76709"	"2529.649658"	"1706.616699"	"2250.539307"	"2527.959473"
"CHEBI:16027"	"C10H14N5O7P"	"Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O"	"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"	"adenosine 5'-monophosphate"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"285875.3125"	"827303.5625"	"374435.2188"	"394568.0313"	"312381.625"	"431472.8125"	"410934.75"	"510186.4063"	"667097.375"	"381129.4063"	"219108.1563"	"214372.8438"
"CHEBI:17345"	"C10H14N5O8P"	"Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O"	"InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1"	"GMP"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"88240.99219"	"146992.5625"	"103244.5625"	"78211.09375"	"77861.32031"	"91441.92188"	"92248.32031"	"98874.84375"	"106375.2031"	"89767.34375"	"54207.29297"	"53051.38672"
"CHEBI:16695"	"C9H13N2O9P"	"O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O"	"InChI=1S/C9H13N2O9P/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1"	"Uridylic acid"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"35934.85156"	"89570.42969"	"46819.26172"	"32532.83203"	"36352.09375"	"40334.76172"	"43800.25781"	"48052.28906"	"72195.03125"	"39463.95313"	"21904.12109"	"21465.73438"
"CHEBI:87798"	"C9H12N3Na2O8P"	"C1=CC(=NC(N1[C@@H]2O[C@H](COP([O-])(=O)[O-])[C@H]([C@H]2O)O)=O)N.[Na+].[Na+]"	"InChI=1S/C9H14N3O8P.2Na/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18;;/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18);;/q;2*+1/p-2/t4-,6-,7-,8-;;/m1../s1"	"Cytidine 5'-monophosphate disodium salt"	""	""	""	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"80736.49219"	"144966.9531"	"97782.16406"	"69580.07031"	"68459.03906"	"79565.17188"	"99863.38281"	"111657.25"	"117030.4219"	"84328.95313"	"49176.55078"	"49399.40234"
